AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	xaxis	yaxis
646.589	103.667	PIERCE	Wisconsin	55093	583.7	1774.77643371000	1547.67550144000
646.737	101.564	WEXFORD	Michigan	26165	583.8	2131.72277971000	1544.07216257000
1075.409	160.280	RENVILLE	Minnesota	27129	970.8	1645.10512934000	1545.55302716000
599.905	132.176	BROWN	Wisconsin	55009	541.5	2005.03573988000	1540.49964682000
609.971	101.401	MANISTEE	Michigan	26101	550.6	2106.75323055000	1541.01337078000
844.574	126.837	WAUPACA	Wisconsin	55135	762.4	1955.32844395000	1537.96986736000
406.374	95.088	SCOTT	Minnesota	27139	366.8	1717.80418493000	1541.45616898000
1717.466	212.439	WORCESTER	Massachusetts	25027	1550.4	2867.00000517000	1527.27027091000
894.401	126.786	PORTAGE	Wisconsin	55097	807.4	1927.73498980000	1536.55378285000
598.855	100.798	HAMLIN	South Dakota	46057	540.6	1528.72874047000	1542.13818008000
743.318	111.560	RENSSELAER	New York	36083	671.0	2777.48503160000	1532.46303897000
908.808	124.626	WOOD	Wisconsin	55141	820.4	1899.72922158000	1533.54606941000
691.327	104.827	OUTAGAMIE	Wisconsin	55087	624.1	1981.38666233000	1535.99129318000
814.535	138.573	FRANKLIN	Massachusetts	25011	735.3	2827.38321535000	1534.82109747000
815.057	156.949	CAYUGA	New York	36011	735.8	2616.01102125000	1512.98736538000
862.822	147.014	GOODHUE	Minnesota	27049	778.9	1759.99871569000	1524.87192055000
271.325	101.215	PEPIN	Wisconsin	55091	244.9	1797.23530489000	1538.64304408000
834.414	145.918	SIBLEY	Minnesota	27143	753.2	1681.43803364000	1533.30570464000
440.122	95.611	MONTGOMERY	New York	36057	397.3	2725.35323978000	1534.76392772000
975.688	140.073	REDWOOD	Minnesota	27127	880.8	1628.77215045000	1522.92312105000
241.092	71.086	SCHENECTADY	New York	36093	217.6	2746.87393273000	1533.95023640000
885.766	176.219	BAY	Michigan	26017	799.6	2219.97441195000	1519.38600375000
893.714	129.807	ONONDAGA	New York	36067	806.8	2633.49703026000	1522.92219657000
1129.106	165.107	JACKSON	Wisconsin	55053	1019.3	1860.28025215000	1521.63365367000
803.283	128.426	TREMPEALEAU	Wisconsin	55121	725.1	1831.38627281000	1519.42063991000
1386.027	151.689	BEADLE	South Dakota	46005	1251.2	1471.78931834000	1524.51662156000
1419.398	187.909	ZIEBACH	South Dakota	46137	1268.5	1261.72159706000	1504.67699542000
